"gene","ensmble_gene_gps","trait_exwas_ei","trait_gps","gene_trait_pair_exwas_ei","gene_trait_pair_gps","gene_tait_pair_merged","source"
"SCN1A","ENSG00000144285",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000144285_Degenerative disease of the spinal cord","ENSG00000144285_Degenerative disease of the spinal cord","GPS"
"SCN2A","ENSG00000136531",NA,"Nausea and vomiting",NA,"ENSG00000136531_Nausea and vomiting","ENSG00000136531_Nausea and vomiting","GPS"
"SCN2B","ENSG00000149575",NA,"Cardiac conduction disorders",NA,"ENSG00000149575_Cardiac conduction disorders","ENSG00000149575_Cardiac conduction disorders","GPS"
"SCN4A","ENSG00000007314",NA,"Disorders of fluid, electrolyte, and acid-base balance",NA,"ENSG00000007314_Disorders of fluid, electrolyte, and acid-base balance","ENSG00000007314_Disorders of fluid, electrolyte, and acid-base balance","GPS"
"SCN4A","ENSG00000007314",NA,"Develomental delays and disorders",NA,"ENSG00000007314_Develomental delays and disorders","ENSG00000007314_Develomental delays and disorders","GPS"
"SCN4A","ENSG00000007314",NA,"Abnormal movement",NA,"ENSG00000007314_Abnormal movement","ENSG00000007314_Abnormal movement","GPS"
"SCN5A","ENSG00000183873",NA,"Congestive heart failure; nonhypertensive",NA,"ENSG00000183873_Congestive heart failure; nonhypertensive","ENSG00000183873_Congestive heart failure; nonhypertensive","GPS"
"SCN8A","ENSG00000196876",NA,"Neurological disorders",NA,"ENSG00000196876_Neurological disorders","ENSG00000196876_Neurological disorders","GPS"
"SCN8A","ENSG00000196876",NA,"Other cerebral degenerations",NA,"ENSG00000196876_Other cerebral degenerations","ENSG00000196876_Other cerebral degenerations","GPS"
"SCN8A","ENSG00000196876",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000196876_Degenerative disease of the spinal cord","ENSG00000196876_Degenerative disease of the spinal cord","GPS"
"SCN9A","ENSG00000169432",NA,"Other symptoms/disorders or the urinary system",NA,"ENSG00000169432_Other symptoms/disorders or the urinary system","ENSG00000169432_Other symptoms/disorders or the urinary system","GPS"
"SCN9A","ENSG00000169432",NA,"Pruritus and related conditions",NA,"ENSG00000169432_Pruritus and related conditions","ENSG00000169432_Pruritus and related conditions","GPS"
"SCNN1A","ENSG00000111319",NA,"Disorders of adrenal glands",NA,"ENSG00000111319_Disorders of adrenal glands","ENSG00000111319_Disorders of adrenal glands","GPS"
"SCNN1A","ENSG00000111319",NA,"Disorders of fluid, electrolyte, and acid-base balance",NA,"ENSG00000111319_Disorders of fluid, electrolyte, and acid-base balance","ENSG00000111319_Disorders of fluid, electrolyte, and acid-base balance","GPS"
"SCNN1A","ENSG00000111319",NA,"Hypertension",NA,"ENSG00000111319_Hypertension","ENSG00000111319_Hypertension","GPS"
"SCNN1B","ENSG00000168447",NA,"Disorders of adrenal glands",NA,"ENSG00000168447_Disorders of adrenal glands","ENSG00000168447_Disorders of adrenal glands","GPS"
"SCNN1B","ENSG00000168447",NA,"Disorders of fluid, electrolyte, and acid-base balance",NA,"ENSG00000168447_Disorders of fluid, electrolyte, and acid-base balance","ENSG00000168447_Disorders of fluid, electrolyte, and acid-base balance","GPS"
"SCNN1G","ENSG00000166828",NA,"Disorders of adrenal glands",NA,"ENSG00000166828_Disorders of adrenal glands","ENSG00000166828_Disorders of adrenal glands","GPS"
"SCNN1G","ENSG00000166828",NA,"Disorders of fluid, electrolyte, and acid-base balance",NA,"ENSG00000166828_Disorders of fluid, electrolyte, and acid-base balance","ENSG00000166828_Disorders of fluid, electrolyte, and acid-base balance","GPS"
"SERPINC1","ENSG00000117601",NA,"Pulmonary heart disease",NA,"ENSG00000117601_Pulmonary heart disease","ENSG00000117601_Pulmonary heart disease","GPS"
"SIGMAR1","ENSG00000147955",NA,"Abnormal movement",NA,"ENSG00000147955_Abnormal movement","ENSG00000147955_Abnormal movement","GPS"
"SLC12A1","ENSG00000074803",NA,"Other disorders of the kidney and ureters",NA,"ENSG00000074803_Other disorders of the kidney and ureters","ENSG00000074803_Other disorders of the kidney and ureters","GPS"
"SLC12A3","ENSG00000070915",NA,"Gout and other crystal arthropathies",NA,"ENSG00000070915_Gout and other crystal arthropathies","ENSG00000070915_Gout and other crystal arthropathies","GPS"
"SLC12A3","ENSG00000070915",NA,"Other symptoms/disorders or the urinary system",NA,"ENSG00000070915_Other symptoms/disorders or the urinary system","ENSG00000070915_Other symptoms/disorders or the urinary system","GPS"
"SLC18A2","ENSG00000165646",NA,"Neurological disorders",NA,"ENSG00000165646_Neurological disorders","ENSG00000165646_Neurological disorders","GPS"
"SLC18A2","ENSG00000165646",NA,"Develomental delays and disorders",NA,"ENSG00000165646_Develomental delays and disorders","ENSG00000165646_Develomental delays and disorders","GPS"
"SLC6A4","ENSG00000108576",NA,"Mood disorders",NA,"ENSG00000108576_Mood disorders","ENSG00000108576_Mood disorders","GPS"
"SMO","ENSG00000128602",NA,"Skin cancer",NA,"ENSG00000128602_Skin cancer","ENSG00000128602_Skin cancer","GPS"
"TNFSF11","ENSG00000120659",NA,"Other anemias",NA,"ENSG00000120659_Other anemias","ENSG00000120659_Other anemias","GPS"
"TNNI3","ENSG00000129991",NA,"Congestive heart failure; nonhypertensive",NA,"ENSG00000129991_Congestive heart failure; nonhypertensive","ENSG00000129991_Congestive heart failure; nonhypertensive","GPS"
"TUBA1A","ENSG00000167552",NA,"Other conditions of brain",NA,"ENSG00000167552_Other conditions of brain","ENSG00000167552_Other conditions of brain","GPS"
"TUBB2A","ENSG00000137267",NA,"Other conditions of brain",NA,"ENSG00000137267_Other conditions of brain","ENSG00000137267_Other conditions of brain","GPS"
"TUBB3","ENSG00000258947",NA,"Hereditary and idiopathic peripheral neuropathy",NA,"ENSG00000258947_Hereditary and idiopathic peripheral neuropathy","ENSG00000258947_Hereditary and idiopathic peripheral neuropathy","GPS"
"VDR","ENSG00000111424",NA,"Disorders of parathyroid gland",NA,"ENSG00000111424_Disorders of parathyroid gland","ENSG00000111424_Disorders of parathyroid gland","GPS"
"XDH","ENSG00000158125",NA,"Urinary calculus",NA,"ENSG00000158125_Urinary calculus","ENSG00000158125_Urinary calculus","GPS"
"ABL1","ENSG00000097007",NA,"Genitourinary congenital anomalies",NA,"ENSG00000097007_Genitourinary congenital anomalies","ENSG00000097007_Genitourinary congenital anomalies","GPS"
"ADA","ENSG00000196839",NA,"Cancer of other lymphoid, histiocytic tissue",NA,"ENSG00000196839_Cancer of other lymphoid, histiocytic tissue","ENSG00000196839_Cancer of other lymphoid, histiocytic tissue","GPS"
"ADRB2","ENSG00000169252",NA,"Overweight, obesity and other hyperalimentation",NA,"ENSG00000169252_Overweight, obesity and other hyperalimentation","ENSG00000169252_Overweight, obesity and other hyperalimentation","GPS"
"ADRB3","ENSG00000188778",NA,"Overweight, obesity and other hyperalimentation",NA,"ENSG00000188778_Overweight, obesity and other hyperalimentation","ENSG00000188778_Overweight, obesity and other hyperalimentation","GPS"
"AGTR1","ENSG00000144891",NA,"Respiratory failure, insufficiency, arrest",NA,"ENSG00000144891_Respiratory failure, insufficiency, arrest","ENSG00000144891_Respiratory failure, insufficiency, arrest","GPS"
"AKT1","ENSG00000142208",NA,"Colorectal cancer",NA,"ENSG00000142208_Colorectal cancer","ENSG00000142208_Colorectal cancer","GPS"
"AKT1","ENSG00000142208",NA,"Breast cancer",NA,"ENSG00000142208_Breast cancer","ENSG00000142208_Breast cancer","GPS"
"AKT1","ENSG00000142208",NA,"Malignant neoplasm of uterus",NA,"ENSG00000142208_Malignant neoplasm of uterus","ENSG00000142208_Malignant neoplasm of uterus","GPS"
"AKT1","ENSG00000142208",NA,"Cancer of other female genital organs",NA,"ENSG00000142208_Cancer of other female genital organs","ENSG00000142208_Cancer of other female genital organs","GPS"
"ALDH5A1","ENSG00000112294",NA,"Anxiety disorders",NA,"ENSG00000112294_Anxiety disorders","ENSG00000112294_Anxiety disorders","GPS"
"ALDH5A1","ENSG00000112294",NA,"Conduct disorders",NA,"ENSG00000112294_Conduct disorders","ENSG00000112294_Conduct disorders","GPS"
"ALDH5A1","ENSG00000112294",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000112294_Degenerative disease of the spinal cord","ENSG00000112294_Degenerative disease of the spinal cord","GPS"
"ATP1A3","ENSG00000105409",NA,"Mood disorders",NA,"ENSG00000105409_Mood disorders","ENSG00000105409_Mood disorders","GPS"
"AVPR2","ENSG00000126895",NA,"Genitourinary congenital anomalies",NA,"ENSG00000126895_Genitourinary congenital anomalies","ENSG00000126895_Genitourinary congenital anomalies","GPS"
"BRAF","ENSG00000157764",NA,"Cancer of stomach",NA,"ENSG00000157764_Cancer of stomach","ENSG00000157764_Cancer of stomach","GPS"
"BTK","ENSG00000010671",NA,"Diffuse diseases of connective tissue",NA,"ENSG00000010671_Diffuse diseases of connective tissue","ENSG00000010671_Diffuse diseases of connective tissue","GPS"
"CA2","ENSG00000104267",NA,"Other conditions of brain",NA,"ENSG00000104267_Other conditions of brain","ENSG00000104267_Other conditions of brain","GPS"
"CACNA1D","ENSG00000157388",NA,"Pulmonary heart disease",NA,"ENSG00000157388_Pulmonary heart disease","ENSG00000157388_Pulmonary heart disease","GPS"
"CACNA1G","ENSG00000006283",NA,"Mood disorders",NA,"ENSG00000006283_Mood disorders","ENSG00000006283_Mood disorders","GPS"
"CALCR","ENSG00000004948",NA,"Osteoporosis, osteopenia and pathological fracture",NA,"ENSG00000004948_Osteoporosis, osteopenia and pathological fracture","ENSG00000004948_Osteoporosis, osteopenia and pathological fracture","GPS"
"CFTR","ENSG00000001626",NA,"Chronic sinusitis",NA,"ENSG00000001626_Chronic sinusitis","ENSG00000001626_Chronic sinusitis","GPS"
"CFTR","ENSG00000001626",NA,"Other disorders of liver",NA,"ENSG00000001626_Other disorders of liver","ENSG00000001626_Other disorders of liver","GPS"
"CHEK2","ENSG00000183765",NA,"Manlignant and unknown neoplasms of brain and nervous system",NA,"ENSG00000183765_Manlignant and unknown neoplasms of brain and nervous system","ENSG00000183765_Manlignant and unknown neoplasms of brain and nervous system","GPS"
"CHRM3","ENSG00000133019",NA,"Other disorders of the kidney and ureters",NA,"ENSG00000133019_Other disorders of the kidney and ureters","ENSG00000133019_Other disorders of the kidney and ureters","GPS"
"CHRM3","ENSG00000133019",NA,"Genitourinary congenital anomalies",NA,"ENSG00000133019_Genitourinary congenital anomalies","ENSG00000133019_Genitourinary congenital anomalies","GPS"
"CHRNB1","ENSG00000170175",NA,"Respiratory failure, insufficiency, arrest",NA,"ENSG00000170175_Respiratory failure, insufficiency, arrest","ENSG00000170175_Respiratory failure, insufficiency, arrest","GPS"
"CHRND","ENSG00000135902",NA,"Respiratory failure, insufficiency, arrest",NA,"ENSG00000135902_Respiratory failure, insufficiency, arrest","ENSG00000135902_Respiratory failure, insufficiency, arrest","GPS"
"CHRNE","ENSG00000108556",NA,"Respiratory failure, insufficiency, arrest",NA,"ENSG00000108556_Respiratory failure, insufficiency, arrest","ENSG00000108556_Respiratory failure, insufficiency, arrest","GPS"
"COL18A1","ENSG00000182871",NA,"Disorders of the globe",NA,"ENSG00000182871_Disorders of the globe","ENSG00000182871_Disorders of the globe","GPS"
"COL2A1","ENSG00000139219",NA,"Peripheral enthesopathies and allied syndromes",NA,"ENSG00000139219_Peripheral enthesopathies and allied syndromes","ENSG00000139219_Peripheral enthesopathies and allied syndromes","GPS"
"COL3A1","ENSG00000168542",NA,"Cerebrovascular disease",NA,"ENSG00000168542_Cerebrovascular disease","ENSG00000168542_Cerebrovascular disease","GPS"
"COL4A1","ENSG00000187498",NA,"Other disorders of eye",NA,"ENSG00000187498_Other disorders of eye","ENSG00000187498_Other disorders of eye","GPS"
"COL5A1","ENSG00000130635",NA,"Cerebrovascular disease",NA,"ENSG00000130635_Cerebrovascular disease","ENSG00000130635_Cerebrovascular disease","GPS"
"CRBN","ENSG00000113851",NA,"Pervasive developmental disorders",NA,"ENSG00000113851_Pervasive developmental disorders","ENSG00000113851_Pervasive developmental disorders","GPS"
"CRBN","ENSG00000113851",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000113851_Epilepsy, recurrent seizures, convulsions","ENSG00000113851_Epilepsy, recurrent seizures, convulsions","GPS"
"CSF1R","ENSG00000182578",NA,"Other and unspecified congenital anomalies",NA,"ENSG00000182578_Other and unspecified congenital anomalies","ENSG00000182578_Other and unspecified congenital anomalies","GPS"
"CYP19A1","ENSG00000137869",NA,"Breast conditions, congenital or relating to hormones",NA,"ENSG00000137869_Breast conditions, congenital or relating to hormones","ENSG00000137869_Breast conditions, congenital or relating to hormones","GPS"
"DDC","ENSG00000132437",NA,"Sleep disorders",NA,"ENSG00000132437_Sleep disorders","ENSG00000132437_Sleep disorders","GPS"
"DHFR","ENSG00000228716",NA,"Aplastic anemia",NA,"ENSG00000228716_Aplastic anemia","ENSG00000228716_Aplastic anemia","GPS"
"EPHB2","ENSG00000133216",NA,"Cancer of prostate",NA,"ENSG00000133216_Cancer of prostate","ENSG00000133216_Cancer of prostate","GPS"
"EPOR","ENSG00000187266",NA,"Ischemic heart disease",NA,"ENSG00000187266_Ischemic heart disease","ENSG00000187266_Ischemic heart disease","GPS"
"EPOR","ENSG00000187266",NA,"Intracranial hemorrhage",NA,"ENSG00000187266_Intracranial hemorrhage","ENSG00000187266_Intracranial hemorrhage","GPS"
"EPOR","ENSG00000187266",NA,"Malaise and fatigue",NA,"ENSG00000187266_Malaise and fatigue","ENSG00000187266_Malaise and fatigue","GPS"
"ERBB2","ENSG00000141736",NA,"Cancer of stomach",NA,"ENSG00000141736_Cancer of stomach","ENSG00000141736_Cancer of stomach","GPS"
"ERBB2","ENSG00000141736",NA,"Cancer of other female genital organs",NA,"ENSG00000141736_Cancer of other female genital organs","ENSG00000141736_Cancer of other female genital organs","GPS"
"ERBB2","ENSG00000141736",NA,"Manlignant and unknown neoplasms of brain and nervous system",NA,"ENSG00000141736_Manlignant and unknown neoplasms of brain and nervous system","ENSG00000141736_Manlignant and unknown neoplasms of brain and nervous system","GPS"
"ESR1","ENSG00000091831",NA,"Diseases of sebaceous glands",NA,"ENSG00000091831_Diseases of sebaceous glands","ENSG00000091831_Diseases of sebaceous glands","GPS"
"F5","ENSG00000198734",NA,"Cerebrovascular disease",NA,"ENSG00000198734_Cerebrovascular disease","ENSG00000198734_Cerebrovascular disease","GPS"
"FAAH","ENSG00000117480",NA,"Neurological disorders",NA,"ENSG00000117480_Neurological disorders","ENSG00000117480_Neurological disorders","GPS"
"FGA","ENSG00000171560",NA,"Other diseases of blood and blood-forming organs",NA,"ENSG00000171560_Other diseases of blood and blood-forming organs","ENSG00000171560_Other diseases of blood and blood-forming organs","GPS"
"FGA","ENSG00000171560",NA,"Other disorders of liver",NA,"ENSG00000171560_Other disorders of liver","ENSG00000171560_Other disorders of liver","GPS"
"FGB","ENSG00000171564",NA,"Other diseases of blood and blood-forming organs",NA,"ENSG00000171564_Other diseases of blood and blood-forming organs","ENSG00000171564_Other diseases of blood and blood-forming organs","GPS"
"FGFR1","ENSG00000077782",NA,"Other congenital musculoskeletal anomalies",NA,"ENSG00000077782_Other congenital musculoskeletal anomalies","ENSG00000077782_Other congenital musculoskeletal anomalies","GPS"
"FGFR2","ENSG00000066468",NA,"Cancer of other female genital organs",NA,"ENSG00000066468_Cancer of other female genital organs","ENSG00000066468_Cancer of other female genital organs","GPS"
"FGFR2","ENSG00000066468",NA,"Diseases of hair and hair follicles",NA,"ENSG00000066468_Diseases of hair and hair follicles","ENSG00000066468_Diseases of hair and hair follicles","GPS"
"FGFR2","ENSG00000066468",NA,"Other congenital musculoskeletal anomalies",NA,"ENSG00000066468_Other congenital musculoskeletal anomalies","ENSG00000066468_Other congenital musculoskeletal anomalies","GPS"
"FGFR3","ENSG00000068078",NA,"Cancer of stomach",NA,"ENSG00000068078_Cancer of stomach","ENSG00000068078_Cancer of stomach","GPS"
"FGFR3","ENSG00000068078",NA,"Colorectal cancer",NA,"ENSG00000068078_Colorectal cancer","ENSG00000068078_Colorectal cancer","GPS"
"FGFR3","ENSG00000068078",NA,"Malignant neoplasm of uterus",NA,"ENSG00000068078_Malignant neoplasm of uterus","ENSG00000068078_Malignant neoplasm of uterus","GPS"
"FGFR3","ENSG00000068078",NA,"Keratitis",NA,"ENSG00000068078_Keratitis","ENSG00000068078_Keratitis","GPS"
"FGG","ENSG00000171557",NA,"Other diseases of blood and blood-forming organs",NA,"ENSG00000171557_Other diseases of blood and blood-forming organs","ENSG00000171557_Other diseases of blood and blood-forming organs","GPS"
"GABBR2","ENSG00000136928",NA,"Sleep disorders",NA,"ENSG00000136928_Sleep disorders","ENSG00000136928_Sleep disorders","GPS"
"GABBR2","ENSG00000136928",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000136928_Extrapyramidal disease and abnormal movement disorders","ENSG00000136928_Extrapyramidal disease and abnormal movement disorders","GPS"
"GABRA5","ENSG00000186297",NA,"Pervasive developmental disorders",NA,"ENSG00000186297_Pervasive developmental disorders","ENSG00000186297_Pervasive developmental disorders","GPS"
"GABRG2","ENSG00000113327",NA,"Strabismus and other disorders of binocular eye movements",NA,"ENSG00000113327_Strabismus and other disorders of binocular eye movements","ENSG00000113327_Strabismus and other disorders of binocular eye movements","GPS"
"GLRA1","ENSG00000145888",NA,"Abdominal hernia",NA,"ENSG00000145888_Abdominal hernia","ENSG00000145888_Abdominal hernia","GPS"
"GRIA2","ENSG00000120251",NA,"Anxiety disorders",NA,"ENSG00000120251_Anxiety disorders","ENSG00000120251_Anxiety disorders","GPS"
"GRIA2","ENSG00000120251",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000120251_Extrapyramidal disease and abnormal movement disorders","ENSG00000120251_Extrapyramidal disease and abnormal movement disorders","GPS"
"GRIA2","ENSG00000120251",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000120251_Degenerative disease of the spinal cord","ENSG00000120251_Degenerative disease of the spinal cord","GPS"
"GRIA3","ENSG00000125675",NA,"Anxiety disorders",NA,"ENSG00000125675_Anxiety disorders","ENSG00000125675_Anxiety disorders","GPS"
"GRIA4","ENSG00000152578",NA,"Pervasive developmental disorders",NA,"ENSG00000152578_Pervasive developmental disorders","ENSG00000152578_Pervasive developmental disorders","GPS"
"GRIA4","ENSG00000152578",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000152578_Extrapyramidal disease and abnormal movement disorders","ENSG00000152578_Extrapyramidal disease and abnormal movement disorders","GPS"
"GRIN1","ENSG00000176884",NA,"Anxiety disorders",NA,"ENSG00000176884_Anxiety disorders","ENSG00000176884_Anxiety disorders","GPS"
"GRIN1","ENSG00000176884",NA,"Other cerebral degenerations",NA,"ENSG00000176884_Other cerebral degenerations","ENSG00000176884_Other cerebral degenerations","GPS"
"GRIN1","ENSG00000176884",NA,"Strabismus and other disorders of binocular eye movements",NA,"ENSG00000176884_Strabismus and other disorders of binocular eye movements","ENSG00000176884_Strabismus and other disorders of binocular eye movements","GPS"
"GRIN2D","ENSG00000105464",NA,"Develomental delays and disorders",NA,"ENSG00000105464_Develomental delays and disorders","ENSG00000105464_Develomental delays and disorders","GPS"
"GRIN2D","ENSG00000105464",NA,"Other cerebral degenerations",NA,"ENSG00000105464_Other cerebral degenerations","ENSG00000105464_Other cerebral degenerations","GPS"
"HBA1","ENSG00000206172",NA,"Other disorders of liver",NA,"ENSG00000206172_Other disorders of liver","ENSG00000206172_Other disorders of liver","GPS"
"HBA2","ENSG00000188536",NA,"Other disorders of liver",NA,"ENSG00000188536_Other disorders of liver","ENSG00000188536_Other disorders of liver","GPS"
"HBB","ENSG00000244734",NA,"Other disorders of liver",NA,"ENSG00000244734_Other disorders of liver","ENSG00000244734_Other disorders of liver","GPS"
"IDH1","ENSG00000138413",NA,"Manlignant and unknown neoplasms of brain and nervous system",NA,"ENSG00000138413_Manlignant and unknown neoplasms of brain and nervous system","ENSG00000138413_Manlignant and unknown neoplasms of brain and nervous system","GPS"
"IFNGR1","ENSG00000027697",NA,"Chronic liver disease and cirrhosis",NA,"ENSG00000027697_Chronic liver disease and cirrhosis","ENSG00000027697_Chronic liver disease and cirrhosis","GPS"
"IL2RA","ENSG00000134460",NA,"Acquired hemolytic anemias",NA,"ENSG00000134460_Acquired hemolytic anemias","ENSG00000134460_Acquired hemolytic anemias","GPS"
"IL2RA","ENSG00000134460",NA,"Other diseases of blood and blood-forming organs",NA,"ENSG00000134460_Other diseases of blood and blood-forming organs","ENSG00000134460_Other diseases of blood and blood-forming organs","GPS"
"IL2RA","ENSG00000134460",NA,"Erythematous conditions",NA,"ENSG00000134460_Erythematous conditions","ENSG00000134460_Erythematous conditions","GPS"
"IL2RB","ENSG00000100385",NA,"Acquired hemolytic anemias",NA,"ENSG00000100385_Acquired hemolytic anemias","ENSG00000100385_Acquired hemolytic anemias","GPS"
"IL2RB","ENSG00000100385",NA,"Other diseases of blood and blood-forming organs",NA,"ENSG00000100385_Other diseases of blood and blood-forming organs","ENSG00000100385_Other diseases of blood and blood-forming organs","GPS"
"IL4R","ENSG00000077238",NA,"Allergic rhinitis",NA,"ENSG00000077238_Allergic rhinitis","ENSG00000077238_Allergic rhinitis","GPS"
"IL6","ENSG00000136244",NA,"Diabetes mellitus",NA,"ENSG00000136244_Diabetes mellitus","ENSG00000136244_Diabetes mellitus","GPS"
"IMPA1","ENSG00000133731",NA,"Conduct disorders",NA,"ENSG00000133731_Conduct disorders","ENSG00000133731_Conduct disorders","GPS"
"ITK","ENSG00000113263",NA,"Cancer of other lymphoid, histiocytic tissue",NA,"ENSG00000113263_Cancer of other lymphoid, histiocytic tissue","ENSG00000113263_Cancer of other lymphoid, histiocytic tissue","GPS"
"JAK1","ENSG00000162434",NA,"Chronic liver disease and cirrhosis",NA,"ENSG00000162434_Chronic liver disease and cirrhosis","ENSG00000162434_Chronic liver disease and cirrhosis","GPS"
"JAK1","ENSG00000162434",NA,"Nephritis; nephrosis; renal sclerosis",NA,"ENSG00000162434_Nephritis; nephrosis; renal sclerosis","ENSG00000162434_Nephritis; nephrosis; renal sclerosis","GPS"
"JAK1","ENSG00000162434",NA,"Atopic/contact dermatitis due to other or unspecified",NA,"ENSG00000162434_Atopic/contact dermatitis due to other or unspecified","ENSG00000162434_Atopic/contact dermatitis due to other or unspecified","GPS"
"JAK3","ENSG00000105639",NA,"Pneumonia",NA,"ENSG00000105639_Pneumonia","ENSG00000105639_Pneumonia","GPS"
"KCNA1","ENSG00000111262",NA,"Myoneural disorders",NA,"ENSG00000111262_Myoneural disorders","ENSG00000111262_Myoneural disorders","GPS"
"KCNA2","ENSG00000177301",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000177301_Degenerative disease of the spinal cord","ENSG00000177301_Degenerative disease of the spinal cord","GPS"
"KCNC1","ENSG00000129159",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000129159_Degenerative disease of the spinal cord","ENSG00000129159_Degenerative disease of the spinal cord","GPS"
"KCNC3","ENSG00000131398",NA,"Disorders of optic nerve and visual pathways",NA,"ENSG00000131398_Disorders of optic nerve and visual pathways","ENSG00000131398_Disorders of optic nerve and visual pathways","GPS"
"KCNQ1","ENSG00000053918",NA,"Cerebrovascular disease",NA,"ENSG00000053918_Cerebrovascular disease","ENSG00000053918_Cerebrovascular disease","GPS"
"KCNQ2","ENSG00000075043",NA,"Degenerative disease of the spinal cord",NA,"ENSG00000075043_Degenerative disease of the spinal cord","ENSG00000075043_Degenerative disease of the spinal cord","GPS"
"KCNQ2","ENSG00000075043",NA,"Myoneural disorders",NA,"ENSG00000075043_Myoneural disorders","ENSG00000075043_Myoneural disorders","GPS"
"MET","ENSG00000105976",NA,"Cancer of liver and intrahepatic bile duct",NA,"ENSG00000105976_Cancer of liver and intrahepatic bile duct","ENSG00000105976_Cancer of liver and intrahepatic bile duct","GPS"
"MMP1","ENSG00000196611",NA,"Chronic airway obstruction",NA,"ENSG00000196611_Chronic airway obstruction","ENSG00000196611_Chronic airway obstruction","GPS"
"MMP13","ENSG00000137745",NA,"Osteoarthrosis",NA,"ENSG00000137745_Osteoarthrosis","ENSG00000137745_Osteoarthrosis","GPS"
"NDUFA1","ENSG00000125356",NA,"Develomental delays and disorders",NA,"ENSG00000125356_Develomental delays and disorders","ENSG00000125356_Develomental delays and disorders","GPS"
"NDUFA1","ENSG00000125356",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000125356_Extrapyramidal disease and abnormal movement disorders","ENSG00000125356_Extrapyramidal disease and abnormal movement disorders","GPS"
"NDUFA11","ENSG00000174886",NA,"Other cerebral degenerations",NA,"ENSG00000174886_Other cerebral degenerations","ENSG00000174886_Other cerebral degenerations","GPS"
"NDUFA12","ENSG00000184752",NA,"Develomental delays and disorders",NA,"ENSG00000184752_Develomental delays and disorders","ENSG00000184752_Develomental delays and disorders","GPS"
"NDUFA12","ENSG00000184752",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000184752_Extrapyramidal disease and abnormal movement disorders","ENSG00000184752_Extrapyramidal disease and abnormal movement disorders","GPS"
"NDUFA13","ENSG00000186010",NA,"Neurological disorders",NA,"ENSG00000186010_Neurological disorders","ENSG00000186010_Neurological disorders","GPS"
"NDUFA13","ENSG00000186010",NA,"Develomental delays and disorders",NA,"ENSG00000186010_Develomental delays and disorders","ENSG00000186010_Develomental delays and disorders","GPS"
"NDUFA2","ENSG00000131495",NA,"Develomental delays and disorders",NA,"ENSG00000131495_Develomental delays and disorders","ENSG00000131495_Develomental delays and disorders","GPS"
"NDUFA4","ENSG00000189043",NA,"Develomental delays and disorders",NA,"ENSG00000189043_Develomental delays and disorders","ENSG00000189043_Develomental delays and disorders","GPS"
"NDUFA4","ENSG00000189043",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000189043_Extrapyramidal disease and abnormal movement disorders","ENSG00000189043_Extrapyramidal disease and abnormal movement disorders","GPS"
"NDUFA6","ENSG00000184983",NA,"Delirium dementia and amnestic and other cognitive disorders",NA,"ENSG00000184983_Delirium dementia and amnestic and other cognitive disorders","ENSG00000184983_Delirium dementia and amnestic and other cognitive disorders","GPS"
"NDUFA6","ENSG00000184983",NA,"Neurological disorders",NA,"ENSG00000184983_Neurological disorders","ENSG00000184983_Neurological disorders","GPS"
"NDUFA6","ENSG00000184983",NA,"Develomental delays and disorders",NA,"ENSG00000184983_Develomental delays and disorders","ENSG00000184983_Develomental delays and disorders","GPS"
"NDUFA8","ENSG00000119421",NA,"Other cerebral degenerations",NA,"ENSG00000119421_Other cerebral degenerations","ENSG00000119421_Other cerebral degenerations","GPS"
"NDUFA8","ENSG00000119421",NA,"Cardiac dysrhythmias",NA,"ENSG00000119421_Cardiac dysrhythmias","ENSG00000119421_Cardiac dysrhythmias","GPS"
"NDUFA8","ENSG00000119421",NA,"Genitourinary congenital anomalies",NA,"ENSG00000119421_Genitourinary congenital anomalies","ENSG00000119421_Genitourinary congenital anomalies","GPS"
"NDUFA9","ENSG00000139180",NA,"Neurological disorders",NA,"ENSG00000139180_Neurological disorders","ENSG00000139180_Neurological disorders","GPS"
"NDUFA9","ENSG00000139180",NA,"Other retinal disorders",NA,"ENSG00000139180_Other retinal disorders","ENSG00000139180_Other retinal disorders","GPS"
"NDUFAF1","ENSG00000137806",NA,"Develomental delays and disorders",NA,"ENSG00000137806_Develomental delays and disorders","ENSG00000137806_Develomental delays and disorders","GPS"
"NDUFAF1","ENSG00000137806",NA,"Muscular dystrophies and other myopathies",NA,"ENSG00000137806_Muscular dystrophies and other myopathies","ENSG00000137806_Muscular dystrophies and other myopathies","GPS"
"NDUFAF1","ENSG00000137806",NA,"Other retinal disorders",NA,"ENSG00000137806_Other retinal disorders","ENSG00000137806_Other retinal disorders","GPS"
